1 0.260455 -0.22615 0.142184 0.0961565 0.167725 0.0768887 -0.150437 -0.186705 -0.183869
0.260455 1 -0.107914 0.184147 -0.0361223 -0.12201 -0.107797 -0.169135 -0.110802 -0.00594772
-0.22615 -0.107914 1 -0.0810586 0.0620496 -0.149223 -0.273208 0.0573761 -0.108652 0.243408
0.142184 0.184147 -0.0810586 1 0.0398829 -0.109052 -0.0640597 0.0428928 0.106361 -0.00814387
0.0961565 -0.0361223 0.0620496 0.0398829 1 0.206331 -0.0464427 0.00188921 -0.098476 0.092396
0.167725 -0.12201 -0.149223 -0.109052 0.206331 1 0.0770361 -0.084339 -0.16702 -0.140503
0.0768887 -0.107797 -0.273208 -0.0640597 -0.0464427 0.0770361 1 -0.27698 -0.152642 0.206334
-0.150437 -0.169135 0.0573761 0.0428928 0.00188921 -0.084339 -0.27698 1 -0.0459711 -0.291927
-0.186705 -0.110802 -0.108652 0.106361 -0.098476 -0.16702 -0.152642 -0.0459711 1 0.17373
-0.183869 -0.00594772 0.243408 -0.00814387 0.092396 -0.140503 0.206334 -0.291927 0.17373 1
