01/08/2004, 5.87
01/15/2004, 5.66
01/22/2004, 5.64
01/29/2004, 5.68
02/05/2004, 5.72
02/12/2004, 5.66
02/19/2004, 5.58
02/26/2004, 5.58
03/04/2004, 5.59
03/11/2004, 5.41
03/18/2004, 5.38
03/25/2004, 5.40
04/01/2004, 5.52
04/08/2004, 5.79
04/15/2004, 5.89
04/22/2004, 5.94
04/29/2004, 6.01
05/06/2004, 6.12
05/13/2004, 6.34
05/20/2004, 6.30
05/27/2004, 6.32
06/03/2004, 6.28
06/10/2004, 6.30
06/17/2004, 6.32
06/24/2004, 6.25
07/01/2004, 6.21
07/08/2004, 6.01
07/15/2004, 6.00
07/22/2004, 5.98
07/29/2004, 6.08
08/05/2004, 5.99
08/12/2004, 5.85
08/19/2004, 5.81
08/26/2004, 5.82
09/02/2004, 5.77
09/09/2004, 5.83
09/16/2004, 5.75
09/23/2004, 5.70
09/30/2004, 5.72
10/07/2004, 5.82
10/14/2004, 5.74
10/21/2004, 5.69
10/28/2004, 5.64
11/04/2004, 5.70
11/11/2004, 5.76
11/18/2004, 5.74
11/25/2004, 5.72
12/02/2004, 5.81
12/09/2004, 5.71
12/16/2004, 5.68
12/23/2004, 5.75
12/30/2004, 5.81
01/06/2005, 5.77
01/13/2005, 5.74
01/20/2005, 5.67
01/27/2005, 5.66
02/03/2005, 5.63
02/10/2005, 5.57
02/17/2005, 5.62
02/24/2005, 5.69
03/03/2005, 5.79
03/10/2005, 5.85
03/17/2005, 5.95
03/24/2005, 6.01
03/31/2005, 6.04
04/07/2005, 5.93
04/14/2005, 5.91
04/21/2005, 5.80
04/28/2005, 5.78
05/05/2005, 5.75
05/12/2005, 5.77
05/19/2005, 5.71
05/26/2005, 5.65
06/02/2005, 5.62
06/09/2005, 5.56
06/16/2005, 5.63
06/23/2005, 5.57
06/30/2005, 5.53
07/07/2005, 5.62
07/14/2005, 5.66
07/21/2005, 5.73
07/28/2005, 5.77
08/04/2005, 5.82
08/11/2005, 5.89
08/18/2005, 5.80
08/25/2005, 5.77
09/01/2005, 5.71
09/08/2005, 5.71
09/15/2005, 5.74
09/22/2005, 5.80
09/29/2005, 5.91
10/06/2005, 5.98
10/13/2005, 6.03
10/20/2005, 6.10
10/27/2005, 6.15
11/03/2005, 6.31
11/10/2005, 6.36
11/17/2005, 6.37
11/24/2005, 6.28
12/01/2005, 6.26
12/08/2005, 6.32
12/15/2005, 6.30
12/22/2005, 6.26
12/29/2005, 6.22
01/05/2006, 6.21
01/12/2006, 6.15
01/19/2006, 6.10
01/26/2006, 6.12
02/02/2006, 6.23
02/09/2006, 6.24
02/16/2006, 6.28
02/23/2006, 6.26
03/02/2006, 6.24
03/09/2006, 6.37
03/16/2006, 6.34
03/23/2006, 6.32
03/30/2006, 6.35
04/06/2006, 6.43
04/13/2006, 6.49
04/20/2006, 6.53
04/27/2006, 6.58
05/04/2006, 6.59
05/11/2006, 6.58
05/18/2006, 6.60
05/25/2006, 6.62
06/01/2006, 6.67
06/08/2006, 6.62
06/15/2006, 6.63
06/22/2006, 6.71
06/29/2006, 6.78
07/06/2006, 6.79
07/13/2006, 6.74
07/20/2006, 6.80
07/27/2006, 6.72
08/03/2006, 6.63
08/10/2006, 6.55
08/17/2006, 6.52
08/24/2006, 6.48
08/31/2006, 6.44
09/07/2006, 6.47
09/14/2006, 6.43
09/21/2006, 6.40
09/28/2006, 6.31
10/05/2006, 6.30
10/12/2006, 6.37
10/19/2006, 6.36
10/26/2006, 6.40
11/02/2006, 6.31
11/09/2006, 6.33
11/16/2006, 6.24
11/23/2006, 6.18
11/30/2006, 6.14
12/07/2006, 6.11
12/14/2006, 6.12
12/21/2006, 6.13
12/28/2006, 6.18
01/04/2007, 6.18
01/11/2007, 6.21
01/18/2007, 6.23
01/25/2007, 6.25
02/01/2007, 6.34
02/08/2007, 6.28
02/15/2007, 6.30
02/22/2007, 6.22
03/01/2007, 6.18
03/08/2007, 6.14
03/15/2007, 6.14
03/22/2007, 6.16
03/29/2007, 6.16
04/05/2007, 6.17
04/12/2007, 6.22
04/19/2007, 6.17
04/26/2007, 6.16
05/03/2007, 6.16
05/10/2007, 6.15
05/17/2007, 6.21
05/24/2007, 6.37
05/31/2007, 6.42
